,N,SSIM,MSE
283,4283,0.9209021353702196,0.007085797376930714
284,4284,0.9221362378893762,0.006624693050980568
285,4285,0.9241169443250391,0.006029889918863773
286,4286,0.9211443800732465,0.006935667712241411
287,4287,0.9207662200443577,0.006926815025508404
288,4288,0.9232753024117917,0.006241784431040287
289,4289,0.9227765620593757,0.006451822351664305
290,4290,0.920977857281739,0.006996389478445053
291,4291,0.9234057756812101,0.006268732249736786
292,4292,0.9238843350102827,0.00607695197686553
293,4293,0.9215098550401526,0.006926110479980707
294,4294,0.9220330105262021,0.006661446765065193
295,4295,0.9251845321229824,0.005873615853488445
296,4296,0.9228781607999168,0.006552375853061676
297,4297,0.9215830093080984,0.006900313310325146
298,4298,0.9254657297468504,0.005855192895978689
299,4299,0.92518442098649,0.005964582785964012
300,4300,0.9220668530480591,0.006809535436332226
301,4301,0.9247806882793602,0.00611979840323329
302,4302,0.9257089779605887,0.005947224330157042
303,4303,0.9236760760345379,0.006451051216572523
304,4304,0.9236944302339862,0.006470520980656147
305,4305,0.9260662266750813,0.005910016596317291
306,4306,0.9257100000732233,0.006026008166372776
307,4307,0.9231258277530769,0.00670501496642828
308,4308,0.9264981373058303,0.005855437833815813
309,4309,0.9263274342675654,0.005949993152171373
310,4310,0.9248931119185931,0.006340502295643091
311,4311,0.9252169934937116,0.006197366397827864
312,4312,0.9270252761268601,0.005875478498637676
313,4313,0.9271548053600621,0.005797180812805891
314,4314,0.9256244021723409,0.006284366361796856
315,4315,0.9276431651069644,0.005716109182685614
316,4316,0.9274890819502891,0.005851528141647577
317,4317,0.9266740924307565,0.006099211517721415
318,4318,0.9276582201138375,0.00588074279949069
319,4319,0.9276137827987938,0.005883531179279089
320,4320,0.9285615748287577,0.005680800415575504
321,4321,0.9272521874258929,0.006075583398342133
322,4322,0.9284593834461896,0.005689100362360477
323,4323,0.9278460781669879,0.005868957377970219
324,4324,0.9281855812939512,0.005904035177081823
325,4325,0.928720208881055,0.005725457333028316
326,4326,0.9286610525716131,0.00572378933429718
327,4327,0.9295327610745966,0.005537472199648619
328,4328,0.9285497582269528,0.005816826596856117
329,4329,0.9297731111526442,0.005507601890712976
330,4330,0.9289756444540876,0.00570025248453021
331,4331,0.9297515398997176,0.005632343236356974
332,4332,0.9305887191925069,0.005394267849624157
333,4333,0.9300116239687755,0.005558563861995935
334,4334,0.9303394670232037,0.00549134099856019
335,4335,0.9304090818508887,0.00553614180535078
336,4336,0.9313456949484313,0.005270543042570353
337,4337,0.9301261343877864,0.005559084005653858
338,4338,0.9324312077750605,0.005069665610790253
339,4339,0.9367381514997908,0.003928096033632755
340,4340,0.9376745591181896,0.00361024122685194
341,4341,0.9368314513237334,0.003834004979580641
342,4342,0.9362544873361425,0.00411105714738369
343,4343,0.9357896354755257,0.004378447309136391
344,4344,0.9349252781746882,0.004511090926826
345,4345,0.9340868855220108,0.004791413899511099
346,4346,0.9362814130386184,0.004114814102649689
347,4347,0.935876121613863,0.004185663536190987
348,4348,0.9370809016492467,0.003646915778517723
349,4349,0.9368062139045997,0.003676755120977759
350,4350,0.9368904092107834,0.00356383016332984
351,4351,0.9357342339005422,0.0039641372859478
352,4352,0.9337451785754786,0.004785444121807814
353,4353,0.9342409903316232,0.004633764736354351
354,4354,0.935604894497837,0.004122371785342693
355,4355,0.9344533485821225,0.004648234229534864
356,4356,0.9341844312570843,0.00472154188901186
357,4357,0.9354606802472422,0.004240719601511955
358,4358,0.9351385672076399,0.004403564147651196
359,4359,0.9346490935496315,0.004724752157926559
360,4360,0.9356869339194069,0.004362016916275024
361,4361,0.9364194276291368,0.004087518434971571
362,4362,0.9355200326094718,0.004572425503283739
363,4363,0.9354428984435038,0.004459640476852655
364,4364,0.9371615732406551,0.003945210482925177
365,4365,0.9364480915384503,0.004302971996366978
366,4366,0.9357754184542341,0.004529754165560007
367,4367,0.9370081181953557,0.004155006259679794
368,4368,0.93763949282145,0.00391862541437149
369,4369,0.936293660633284,0.00445070955902338
370,4370,0.9369378328719821,0.004225474782288074
371,4371,0.938499180282181,0.003714191494509578
372,4372,0.9370468862573007,0.004220346920192242
373,4373,0.9368911543598228,0.004301037639379501
374,4374,0.937605075299884,0.003997784107923508
375,4375,0.9381331813208073,0.00385932601056993
376,4376,0.9370403972040643,0.004253164399415255
377,4377,0.9376103833369817,0.004117765929549932
378,4378,0.9387402398908724,0.003619772382080555
379,4379,0.9375485545907793,0.00412664283066988
380,4380,0.9371375229527027,0.004263795912265778
381,4381,0.938300609692743,0.003826325293630362
382,4382,0.9403306778056811,0.002878418657928705
383,4383,0.9400761114737257,0.002812499646097422
384,4384,0.9410129538333022,0.002456447342410684
385,4385,0.940688422350706,0.0024328688159585
386,4386,0.939456676586249,0.003073420375585556
387,4387,0.9389451748079044,0.003258699085563421
388,4388,0.9391580720689149,0.002892578952014446
389,4389,0.9375375834536693,0.003720366628840566
390,4390,0.9354706665691718,0.004401602782309055
391,4391,0.935362004270255,0.004312798846513033
392,4392,0.9358212653426385,0.004052826203405857
393,4393,0.9350373419990337,0.004162402357906103
394,4394,0.934566678915316,0.004302274901419878
395,4395,0.9331618883126175,0.004882295615971088
396,4396,0.9289688894831023,0.006073292344808578
